GeoTypeName,Borough,Geography,Geography ID,Number,Percent
Citywide,New York City,New York City,1,"4,893,000",74.5
Borough,Bronx,Bronx,1,"741,000",70
Borough,Brooklyn,Brooklyn,2,"1,421,000",71.8
Borough,Manhattan,Manhattan,3,"1,115,000",83.5
Borough,Queens,Queens,4,"1,355,000",74
Borough,Staten Island,Staten Island,5,"262,000",71.8
Neighborhood (UHF 34),Queens,Bayside Little Neck-Fresh Meadows,"404,406","111,000",73.4
Neighborhood (UHF 34),Brooklyn,Bedford Stuyvesant - Crown Heights,203,"177,000",71.4
Neighborhood (UHF 34),Brooklyn,Bensonhurst - Bay Ridge,209,"117,000",69.5
Neighborhood (UHF 34),Brooklyn,Borough Park,206,"160,000",65.2
Neighborhood (UHF 34),Brooklyn,Canarsie - Flatlands,208,"107,000",69
Neighborhood (UHF 34),Manhattan,Central Harlem - Morningside Heights,302,"90,000",73.2
Neighborhood (UHF 34),Manhattan,Chelsea-Village,"306,308","171,000",82.8
Neighborhood (UHF 34),Brooklyn,Coney Island - Sheepshead Bay,210,"161,000",67.6
Neighborhood (UHF 34),Brooklyn,Downtown - Heights - Slope,202,"151,000",82.6
Neighborhood (UHF 34),Brooklyn,East Flatbush - Flatbush,207,"183,000",77.5
Neighborhood (UHF 34),Manhattan,East Harlem,303,"67,000",80.8
Neighborhood (UHF 34),Brooklyn,East New York,204,"100,000",73.1
Neighborhood (UHF 34),Queens,Flushing - Clearview,403,"169,000",75.9
Neighborhood (UHF 34),Bronx,Fordham - Bronx Pk,103,"135,000",70.9
Neighborhood (UHF 34),Brooklyn,Greenpoint,201,"77,000",74
Neighborhood (UHF 34),Queens,Jamaica,408,"161,000",71.4
Neighborhood (UHF 34),Bronx,Kingsbridge - Riverdale,101,"57,000",76.9
Neighborhood (UHF 34),Queens,Long Island City - Astoria,401,"142,000",78.9
Neighborhood (UHF 34),Bronx,Northeast Bronx,102,"94,000",63
Neighborhood (UHF 34),Staten Island,Northern SI,"501,502","103,000",71.1
Neighborhood (UHF 34),Bronx,Pelham - Throgs Neck,104,"175,000",73.8
Neighborhood (UHF 34),Queens,Ridgewood - Forest Hills,405,"151,000",72.6
Neighborhood (UHF 34),Queens,Rockaways,410,"60,000",74.5
Neighborhood (UHF 34),Bronx,South Bronx,"105,106,107","275,000",68.2
Neighborhood (UHF 34),Queens,Southeast Queens,409,"134,000",84.9
Neighborhood (UHF 34),Staten Island,Southern SI,"503,504","157,000",72
Neighborhood (UHF 34),Queens,Southwest Queens,407,"151,000",70.5
Neighborhood (UHF 34),Brooklyn,Sunset Park,205,"64,000",64
Neighborhood (UHF 34),Manhattan,Union Square-Lower Manhattan,"309,310","183,000",85.1
Neighborhood (UHF 34),Manhattan,Upper East Side-Gramercy,"305,307","280,000",89
Neighborhood (UHF 34),Manhattan,Upper West Side,304,"170,000",91.4
Neighborhood (UHF 34),Manhattan,Washington Heights,301,"154,000",75.2
Neighborhood (UHF 34),Queens,West Queens,402,"273,000",71.4
Neighborhood (UHF 34),Brooklyn,Williamsburg - Bushwick,211,"121,000",75.6
